UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),URBAN-RURAL CLASSIFICATION (2013)
P.001,PERLIS,P.001,PADANG BESAR,41974,85.6,9.47,0.94,0.02,0.31,0.61,3.06,95.01,0.03,1.14,3.83,RURAL
P.002,PERLIS,P.002,KANGAR,51207,80.78,15.96,1.82,0,0.04,0.07,1.33,98.07,0.02,1.91,0,SEMI URBAN
P.003,PERLIS,P.003,ARAU,43876,87.33,8.16,1.65,0.01,0.05,0.06,2.74,99.25,0,0.59,0.16,RURAL
P.004,KEDAH,P.004,LANGKAWI,37536,90.65,6.44,2.43,0.01,0.11,0.13,0.24,96.59,0.02,2.16,1.23,SEMI URBAN
P.005,KEDAH,P.005,JERLUN,52383,90.62,7.54,0.11,0,0.02,0.03,1.68,99.92,0.01,0.07,0,RURAL
P.006,KEDAH,P.006,KUBANG PASU,65550,85.41,9.28,3.87,0,0.14,0.13,1.17,96.51,0.02,0.75,2.72,SEMI URBAN
P.007,KEDAH,P.007,PADANG TERAP,41960,92.07,1.43,0.17,0,0.02,0.04,6.25,99.47,0,0.53,0,RURAL
P.008,KEDAH,P.008,POKOK SENA,80714,79.53,17.54,2.34,0,0.06,0.11,0.43,96.55,0.02,0.92,2.5,SEMI URBAN
P.009,KEDAH,P.009,ALOR STAR,69009,61.26,33.61,4.67,0,0.03,0.13,0.3,99.09,0.04,0.88,0,URBAN
P.010,KEDAH,P.010,KUALA KEDAH,95328,77.42,20.81,1.43,0,0.02,0.03,0.28,99.9,0.01,0.09,0,SEMI URBAN
P.011,KEDAH,P.011,PENDANG,70135,88.15,5.65,0.56,0.01,0.02,0.03,5.58,99.74,0.01,0.26,0,RURAL
P.012,KEDAH,P.012,JERAI,74410,78.69,14.75,6.27,0,0.02,0.04,0.22,99.6,0.01,0.31,0.07,RURAL
P.013,KEDAH,P.013,SIK,46786,92.73,1.64,0.18,0.01,0.04,0.03,5.38,99.65,0,0.35,0,RURAL
P.014,KEDAH,P.014,MERBOK,85908,64.54,16.77,17.5,0.02,0.21,0.49,0.47,92.43,0.02,0.6,6.96,URBAN
P.015,KEDAH,P.015,SUNGAI PETANI,93176,58.86,28.66,12.03,0.01,0.03,0.04,0.39,99.81,0.02,0.17,0,URBAN
P.016,KEDAH,P.016,BALING,93168,88.75,5.08,4.69,0.1,0.03,0.05,1.31,99.64,0.01,0.35,0,RURAL
P.017,KEDAH,P.017,PADANG SERAI,74095,55.55,21.45,22.59,0,0.04,0.04,0.33,99.88,0.01,0.11,0,SEMI URBAN
P.018,KEDAH,P.018,KULIM - BANDAR BAHARU,60910,67.58,19.29,12.88,0,0.04,0.07,0.13,97.14,0.01,2.85,0,SEMI URBAN
P.019,KELANTAN,P.019,TUMPAT,98632,92.46,3.33,0.16,0,0.02,0.05,3.98,99.57,0.01,0.42,0,SEMI URBAN
P.020,KELANTAN,P.020,PENGKALAN CHEPA,64409,97.78,1.62,0.15,0.01,0.1,0.12,0.21,95.69,0.02,2.09,2.2,SEMI URBAN
P.021,KELANTAN,P.021,KOTA BHARU,81268,82.85,15.79,0.86,0,0.03,0.06,0.41,99.2,0.02,0.78,0,URBAN
P.022,KELANTAN,P.022,PASIR MAS,71965,96.4,3.32,0.07,0,0.02,0.04,0.14,99.47,0.01,0.53,0,SEMI URBAN
P.023,KELANTAN,P.023,RANTAU PANJANG,52903,98.18,0.73,0.06,0,0.02,0.04,0.97,99.68,0.02,0.19,0.11,SEMI URBAN
P.024,KELANTAN,P.024,KUBANG KERIAN,65390,97.88,1.81,0.16,0,0.03,0.03,0.09,99.86,0.02,0.12,0,SEMI URBAN
P.025,KELANTAN,P.025,BACHOK,81566,98.45,1.14,0.04,0,0.01,0.02,0.32,99.74,0.01,0.25,0,SEMI URBAN
P.026,KELANTAN,P.026,KETEREH,62217,96.77,1.82,0.09,0.12,0.25,0.51,0.43,94.33,0.01,0.08,5.58,SEMI URBAN
P.027,KELANTAN,P.027,TANAH MERAH,58237,94.46,4.11,0.74,0,0.04,0.04,0.6,99.61,0.01,0.38,0,RURAL
P.028,KELANTAN,P.028,PASIR PUTEH,76259,98.09,1.09,0.04,0,0.02,0.03,0.72,99.69,0.01,0.3,0,RURAL
P.029,KELANTAN,P.029,MACHANG,59226,96.01,3.65,0.18,0,0.03,0.04,0.1,99.61,0.01,0.34,0.04,SEMI URBAN
P.030,KELANTAN,P.030,JELI,43224,98.44,0.24,0.11,0.43,0.32,0.27,0.19,93.63,0,0.6,5.77,RURAL
P.031,KELANTAN,P.031,KUALA KRAI,63101,93.95,4.48,1.35,0.01,0.03,0.03,0.15,99.59,0,0.41,0,RURAL
P.032,KELANTAN,P.032,GUA MUSANG,40176,80.37,6.88,0.58,11.92,0.03,0.04,0.17,99.35,0,0.64,0,RURAL
P.033,TERENGGANU,P.033,BESUT,72566,97.94,1.6,0.1,0.02,0.04,0.09,0.23,97.88,0.01,0.45,1.66,SEMI URBAN
P.034,TERENGGANU,P.034,SETIU,67280,99.45,0.36,0.02,0,0.03,0.03,0.11,99.66,0,0.34,0,RURAL
P.035,TERENGGANU,P.035,KUALA NERUS,76238,98.74,0.93,0.09,0,0.06,0.08,0.1,97.99,0.01,1.02,0.99,SEMI URBAN
P.036,TERENGGANU,P.036,KUALA TERENGGANU,94406,89.12,10.09,0.58,0,0.04,0.05,0.11,98.57,0.02,1.37,0.04,URBAN
P.037,TERENGGANU,P.037,MARANG,90795,97.62,2.16,0.08,0,0.03,0.05,0.06,99.21,0.01,0.61,0.17,SEMI URBAN
P.038,TERENGGANU,P.038,HULU TERENGGANU,63543,99.11,0.55,0.05,0.15,0.03,0.04,0.08,99.62,0,0.38,0,RURAL
P.039,TERENGGANU,P.039,DUNGUN,78174,95.68,3.8,0.21,0,0.07,0.07,0.18,99.45,0.01,0.49,0.05,RURAL
P.040,TERENGGANU,P.040,KEMAMAN,91942,92.74,6.1,0.67,0.21,0.08,0.1,0.12,99.58,0,0.39,0.03,SEMI URBAN
P.041,PULAU PINANG,P.041,KEPALA BATAS,51635,76.31,19,4.48,0,0.04,0.05,0.12,98.77,0.01,1.23,0,SEMI URBAN
P.042,PULAU PINANG,P.042,TASEK GELUGOR,54042,78.01,14.56,6.92,0,0.11,0.19,0.21,94.68,0.02,0.17,5.14,SEMI URBAN
P.043,PULAU PINANG,P.043,BAGAN,68503,15.46,69.56,14.67,0,0.05,0.03,0.23,99.73,0.01,0.26,0,URBAN
P.044,PULAU PINANG,P.044,PERMATANG PAUH,71699,70.24,23.06,6.27,0,0.05,0.04,0.33,99.13,0.01,0.86,0,URBAN
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,78996,18.91,71.17,9.62,0,0.04,0.02,0.23,99.91,0.02,0.08,0,URBAN
P.046,PULAU PINANG,P.046,BATU KAWAN,57500,20.58,55.72,23.32,0,0.05,0.06,0.28,99.63,0.01,0.36,0,URBAN
P.047,PULAU PINANG,P.047,NIBONG TEBAL,59345,44.85,37.33,17.61,0.01,0.05,0.04,0.12,99.2,0.01,0.79,0,SEMI URBAN
P.048,PULAU PINANG,P.048,BUKIT BENDERA,71085,14,73.73,11.12,0,0.06,0.07,1.01,98.55,0.02,0.76,0.67,URBAN
P.049,PULAU PINANG,P.049,TANJONG,51487,5.21,85.31,9.12,0,0.03,0.04,0.3,98.06,0,1.79,0.15,URBAN
P.050,PULAU PINANG,P.050,JELUTONG,71247,21.85,66.52,11.21,0,0.04,0.04,0.34,98.72,0.01,1.26,0,URBAN
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,81897,14.47,74.5,10.55,0,0.03,0.04,0.41,99.79,0.03,0.12,0.06,URBAN
P.052,PULAU PINANG,P.052,BAYAN BARU,79155,39.15,49,11.04,0,0.18,0.21,0.43,96.65,0.03,0.48,2.85,URBAN
P.053,PULAU PINANG,P.053,BALIK PULAU,49641,63.42,32.07,4.12,0,0.11,0.08,0.2,98.64,0.01,1.35,0,SEMI URBAN
P.054,PERAK,P.054,GERIK,32725,68.15,15.75,3.64,7.87,0.64,0.91,3.04,88.78,0.02,3.65,7.55,RURAL
P.055,PERAK,P.055,LENGGONG,27950,81.85,14.32,1.52,2.11,0.07,0.04,0.08,99.78,0.01,0.2,0,RURAL
P.056,PERAK,P.056,LARUT,46577,88.7,4.97,6.04,0,0.03,0.04,0.21,99.56,0.01,0.43,0,RURAL
P.057,PERAK,P.057,PARIT BUNTAR,51422,68,26.97,4.93,0,0.03,0.01,0.06,99.8,0.02,0.18,0,SEMI URBAN
P.058,PERAK,P.058,BAGAN SERAI,54792,75.79,14,10.05,0,0.02,0.03,0.11,99.47,0.01,0.52,0,RURAL
